Actual,Predicted
43.37,43.74119059900057
32.27,31.812687836193895
71.88,71.65768658706111
53.02,52.73006233727651
99.61,99.60417881006585
67.78,67.9981459238698
92.09,93.89489542568812
74.13,74.31735275211271
162.16,161.8563650642438
212.28,210.2502907742055
72.57,72.89753096475434
58.76,58.40934948671003
20.08,20.764074631750162
74.41,74.05738538259641
68.43,68.13812835360935
73.65,73.92740169783823
53.66,53.54995942575106
20.71,20.564099732122223
101.17,101.4239503966801
44.47,44.181135378182034
79.68,78.60681434913205
77.56,77.53694863612256
199.27,196.7319875593567
130.85,130.4903020576013
88.02,88.68554929038027
88.99,89.23548026435711
12.28,12.05516775295334
142.01,143.43867680851048
77.17,76.62706284281543
118.4,118.73177795947838
136.15,136.2795754018302
78.8,79.38671645768102
23.71,23.593719461485527
45.815,45.43097850085666
323.06,326.0157601688204
189.02,188.0130819355785
50.13,49.910416252522545
35.225,35.31224857968286
57.96,57.85941851273319
384.82,385.3683103783933
87.26,86.81578397885902
123.87,126.1308492457122
73.38,72.72755230007058
104.13,105.03349733496442
284.28,281.3213701019757
67.94,69.27798528148861
2.86,2.7663336652354884
120.26,118.34182690520389
29.65,29.46298276556559
68.07,68.68805932758619
81.79,81.36646796399764
61.92,61.57895164581289
62.38,62.478838694138624
79.67,80.16661856623
59.94,60.809048282245314
51.75,50.62032714620173
50.98,51.00027945549481
64.91,65.01851991941348
58.19,57.93940847258437
20.58,20.26413738268031
44.04,44.6310789023449
47.47,47.53071494695004
26.375,26.778319738060482
57.06,56.539584175188786
85.38,86.05587936027285
40.47,40.10164742577204
61.4,59.999149938752154
34.93,34.542345216115294
26.19,26.103404451816182
81.09,80.72654828518822
68.46,67.91815596401862
85.24,85.37596470153785
43.92,42.6013336711213
172.96,169.3254275653474
41.45,41.08152443394896
88.25,88.99551038480358
46.69,46.210880609405635
61.62,62.028895169975755
36.2,36.49210048748771
143.32,141.48892153713803
40.57,41.32149431350248
61.65,60.8690407521337
92.41,92.03512885914827
90.46,90.01538237290607
45.06,45.01103121163799
93.21,92.985009632381
353.24,338.07424661638527
153.91,155.20719965161476
23.41,22.353875083792293
58.79,59.26924155511017
82.54,83.10624959076073
70.29,70.63781459895861
91.61,92.86502469260422
42.23,42.33136755662358
66.36,67.89815847405582
119.58,119.30170642341803
40.6,40.801559574469835
55.27,55.34973352240253
